en,de,kind,category,confidence,source,verified_at
wood,Holz,resource,Mat Raw,guessed,research-2026-09,
planks,Bretter,resource,Mat Processed,guessed,research-2026-09,
stone,Stein,resource,Mat Raw,guessed,research-2026-09,
bricks,Ziegel,resource,Mat Processed,guessed,research-2026-09,
clay,Lehm,resource,Mat Raw,guessed,research-2026-09,
plant_fiber,Pflanzenfasern,resource,Mat Raw,guessed,research-2026-09,
fabric,Stoff,resource,Mat Processed,guessed,research-2026-09,
reeds,Schilfrohr,resource,Mat Raw,guessed,research-2026-09,
resin,Harz,resource,Mat Raw,guessed,research-2026-09,
leather,Leder,resource,Mat Raw,guessed,research-2026-09,
meat,Fleisch,resource,Food Raw,guessed,research-2026-09,
insects,Insekten,resource,Food Raw,guessed,research-2026-09,
mushrooms,Pilze,resource,Food Raw,guessed,research-2026-09,
berries,Beeren,resource,Food Raw,guessed,research-2026-09,
vegetables,Gemüse,resource,Food Raw,guessed,research-2026-09,
grain,Getreide,resource,Food Raw,guessed,research-2026-09,
herbs,Kräuter,resource,Food Raw,guessed,research-2026-09,
eggs,Eier,resource,Food Raw,guessed,research-2026-09,
fish,Fisch,resource,Food Raw,guessed,research-2026-09,
algae,Algen,resource,Food Raw,guessed,research-2026-09,
coal,Kohle,resource,Crafting/Fuel,guessed,research-2026-09,
copper_ore,Kupfererz,resource,Crafting,guessed,research-2026-09,
salt,Salz,resource,Crafting/Food,guessed,research-2026-09,
sea_marrow,Meeresmark,resource,Crafting/Fuel,guessed,research-2026-09,
crystallized_dew,Kristalltau,resource,Metal,guessed,research-2026-09,
amber,Bernstein,resource,Currency,spec_seed,SPEC.md,
parts,Teile,resource,Mechanics,spec_seed,SPEC.md,
wildfire_essence,Wildfeueressenz,resource,Hearth Fuel,guessed,research-2026-09,
jerky,Dörrfleisch,resource,Food Complex,guessed,research-2026-09,
porridge,Brei,resource,Food Complex,guessed,research-2026-09,
biscuits,Kekse,resource,Food Complex,guessed,research-2026-09,
pie,Pastete,resource,Food Complex,guessed,research-2026-09,
skewers,Spieße,resource,Food Complex,guessed,research-2026-09,
pickled_goods,Eingelegte Waren,resource,Food Complex,guessed,research-2026-09,
paste,Paste,resource,Food Complex,guessed,research-2026-09,
coats,Mäntel,resource,Needs Goods,guessed,research-2026-09,
ale,Bier,resource,Service Needs,guessed,research-2026-09,
wine,Wein,resource,Service Needs,guessed,research-2026-09,
tea,Tee,resource,Service Needs,guessed,research-2026-09,
incense,Weihrauch,resource,Service Needs,guessed,research-2026-09,
scrolls,Schriftrollen,resource,Service Needs,guessed,research-2026-09,
training_gear,Trainingsausrüstung,resource,Service Needs,guessed,research-2026-09,
simple_tools,Einfache Werkzeuge,resource,Exploration,guessed,research-2026-09,
pack_of_provisions,Proviantpaket,resource,Trade Packs,guessed,research-2026-09,
pack_of_building_materials,Baumaterialpaket,resource,Trade Packs,guessed,research-2026-09,
pack_of_crops,Erntepaket,resource,Trade Packs,guessed,research-2026-09,
pack_of_trade_goods,Handelswarenpaket,resource,Trade Packs,guessed,research-2026-09,
pack_of_luxury_goods,Luxuswarenpaket,resource,Trade Packs,guessed,research-2026-09,
ancient_hearth,Uralte Feuerstelle,building,Hearth,spec_seed,SPEC.md,
small_hearth,Kleine Feuerstelle,building,Hearth,guessed,research-2026-09,
main_warehouse,Hauptlager,building,Logistics,guessed,research-2026-09,
small_warehouse,Kleines Lager,building,Logistics,guessed,research-2026-09,
crude_workstation,Primitive Werkbank,building,Basic Production,spec_seed,SPEC.md,
makeshift_post,Behelfsmäßiger Posten,building,Basic Production,guessed,research-2026-09,
field_kitchen,Feldküche,building,Food Processing,guessed,research-2026-09,
blight_post,Fäulnisposten,building,Disease Defense,guessed,research-2026-09,
hydrant,Hydrant,building,Disease Defense,guessed,research-2026-09,
woodcutters_camp,Holzfällerlager,building,Extraction,guessed,research-2026-09,
stonecutters_camp,Steinmetzlager,building,Extraction,guessed,research-2026-09,
scavengers_camp,Plündererlager,building,Extraction,guessed,research-2026-09,
trappers_camp,Trapperlager,building,Gathering,spec_seed,SPEC.md,
foragers_camp,Sammlerlager,building,Gathering,guessed,research-2026-09,
herbalists_camp,Kräutersammlerlager,building,Gathering,guessed,research-2026-09,
lumber_mill,Sägewerk,building,Refinement,spec_seed,SPEC.md,
carpenter,Zimmerei,building,Refinement,guessed,research-2026-09,
brickyard,Ziegelei,building,Refinement,guessed,research-2026-09,
furnace,Schmelzofen,building,Refinement,guessed,research-2026-09,
weaver,Weberei,building,Refinement,guessed,research-2026-09,
clothier,Schneiderei,building,Refinement,guessed,research-2026-09,
smokehouse,Räucherei,building,Food Processing,guessed,research-2026-09,
butcher,Metzgerei,building,Food Processing,guessed,research-2026-09,
bakery,Bäckerei,building,Food Processing,guessed,research-2026-09,
cookhouse,Garküche,building,Food Processing,guessed,research-2026-09,
beanery,Bohnenküche,building,Food Processing,guessed,research-2026-09,
granary,Kornspeicher,building,Food Processing,guessed,research-2026-09,
cellar,Keller,building,Food Processing,guessed,research-2026-09,
small_farm,Kleine Farm,building,Agriculture,guessed,research-2026-09,
herb_garden,Kräutergarten,building,Agriculture,guessed,research-2026-09,
plantation,Plantage,building,Agriculture,guessed,research-2026-09,
greenhouse,Gewächshaus,building,Rainpunk Agriculture,guessed,research-2026-09,
rain_mill,Regenmühle,building,Refinement,guessed,research-2026-09,
toolshop,Werkzeugmacher,building,Engineering,guessed,research-2026-09,
blacksmith,Schmiede,building,Engineering,guessed,research-2026-09,
tinkerer,Tüftler,building,Engineering,guessed,research-2026-09,
tavern,Taverne,building,Services,guessed,research-2026-09,
bath_house,Badehaus,building,Services,guessed,research-2026-09,
monastery,Kloster,building,Services,guessed,research-2026-09,
temple,Tempel,building,Services,guessed,research-2026-09,
guild_house,Gildenhaus,building,Services,guessed,research-2026-09,
clan_hall,Clan-Halle,building,Services,guessed,research-2026-09,
market,Markt,building,Services,guessed,research-2026-09,
rain_collector,Regenwassersammler,building,Rainpunk,guessed,research-2026-09,
advanced_rain_collector,Fortgeschrittener Regensammler,building,Rainpunk,guessed,research-2026-09,
trading_post,Handelsposten,building,Trade,guessed,research-2026-09,
manorial_court,Gutsgericht,building,Nightwatchers,spec_seed,SPEC.md,
smoldering_city,Schwelende Stadt,concept,Meta,spec_seed,SPEC.md,
resolve,Entschlossenheit,concept,Core,spec_seed,SPEC.md,
impatience,Ungeduld,concept,Core,spec_seed,SPEC.md,
hostility,Feindseligkeit,concept,Core,guessed,research-2026-09,
cornerstone,Grundstein,concept,Core,spec_seed,SPEC.md,
blueprint,Bauplan,concept,Core,guessed,research-2026-09,
dangerous_glade,Gefährliche Lichtung,concept,Expansion,spec_seed,SPEC.md,
forbidden_glade,Verbotene Lichtung,concept,Expansion,guessed,research-2026-09,
blightrot_cyst,Fäulniszyste,concept,Rainpunk,guessed,research-2026-09,
purging_fire,Läuterndes Feuer,concept,Rainpunk,guessed,research-2026-09,
drizzle_season,Nieselregenzeit,season,Season,guessed,research-2026-09,
clearance_season,Auslichtung,season,Season,guessed,research-2026-09,
storm_season,Sturmzeit,season,Season,guessed,research-2026-09,
human,Mensch,species,,guessed,research-2026-09,
beaver,Biber,species,,guessed,research-2026-09,
lizard,Echse,species,,guessed,research-2026-09,
harpy,Harpie,species,,guessed,research-2026-09,
fox,Fuchs,species,,guessed,research-2026-09,
frog,Frosch,species,,guessed,research-2026-09,
bat,Fledermaus,species,,guessed,research-2026-09,
royal_woodlands,Königswälder,biome,,spec_seed,SPEC.md,
coral_forest,Korallenwald,biome,,guessed,research-2026-09,
scarlet_orchard,Scharlachroter Obstgarten,biome,,guessed,research-2026-09,
marshlands,Moorlande,biome,,guessed,research-2026-09,
cursed_royal_woodlands,Verfluchte Königswälder,biome,,guessed,research-2026-09,
sealed_forest,Versiegelter Wald,biome,,guessed,research-2026-09,
ashen_thicket,Aschenes Dickicht,biome,,guessed,research-2026-09,
bamboo_flats,Bambusebene,biome,,spec_seed,SPEC.md,
rocky_ravine,Felsschlucht,biome,,spec_seed,SPEC.md,
fluffbeak,Fluffschnabel,creature,,spec_seed,SPEC.md,
